         9327113 function calls (9308042 primitive calls) in 6.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 Image.py:1(<module>)
        2    0.000    0.000    0.012    0.006 core.py:206(read_style_directory)
     9627    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
      439    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.012    0.012 geo.py:1(<module>)
        1    0.000    0.000    0.012    0.012 array.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _axes.py:65(Axes)
        2    0.000    0.000    0.012    0.006 lazy_loader.py:44(__getattr__)
173965/172791    0.011    0.000    0.011    0.000 {built-in method builtins.len}
    90854    0.010    0.000    0.011    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.011    0.011 textpath.py:1(<module>)
        2    0.000    0.000    0.011    0.005 pxla.py:1(<module>)
     7211    0.006    0.000    0.011    0.000 inspect.py:2722(__init__)
        1    0.000    0.000    0.011    0.011 font_manager.py:1(<module>)
       76    0.000    0.000    0.011    0.000 __init__.py:287(compile)
       46    0.000    0.000    0.010    0.000 dataclasses.py:470(add_fns_to_class)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _function_base_impl.py:5084(meshgrid)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
    92614    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.010    0.010 ufuncs.py:1(<module>)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _pickle.py:1(<module>)
        1    0.000    0.000    0.010    0.010 client.py:1(<module>)
      447    0.000    0.000    0.009    0.000 artist.py:1538(number_of_parameters)
       65    0.002    0.000    0.009    0.000 typing.py:2993(__new__)
       85    0.009    0.000    0.009    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 chlo.py:1(<module>)
